Organism_Name,Month,FY,Total_Specimens,CO_Specimens,HO_Specimens,Mon_Pop,Mon_Total_Pop_Rate,Mon_HO_Pop_Rate,Mon_Adm,Mon_Total_Adm_Rate,Mon_HO_Adm_Rate
MSSA bacteraemia,Feb,2020/21,57,36,21,243146.32328,23.44,8.64,26855,2.12,0.78
P. aeruginosa bacteraemia,Feb,2020/21,7,3,4,243146.32328,2.88,1.65,26855,0.26,0.15
S. aureus bacteraemia,Feb,2020/21,61,40,21,243146.32328,25.09,8.64,26855,2.27,0.78
C. difficile,Feb,2021/22,76,42,34,238223.23287,31.9,14.27,30379,2.5,1.12
E. coli bacteraemia,Feb,2021/22,164,117,47,238223.23287,68.84,19.73,30379,5.4,1.55
Gram negative bacteraemia,Feb,2021/22,226,154,72,238223.23287,94.87,30.22,30379,7.44,2.37
Klebsiella sp bacteraemia,Feb,2021/22,50,31,19,238223.23287,20.99,7.98,30379,1.65,0.63
MRSA bacteraemia,Feb,2021/22,3,0,3,238223.23287,1.26,1.26,30379,0.1,0.1
MSSA bacteraemia,Feb,2021/22,53,38,15,238223.23287,22.25,6.3,30379,1.74,0.49
P. aeruginosa bacteraemia,Feb,2021/22,12,6,6,238223.23287,5.04,2.52,30379,0.4,0.2
S. aureus bacteraemia,Feb,2021/22,56,38,18,238223.23287,23.51,7.56,30379,1.84,0.59
C. difficile,Feb,2022/23,80,33,47,240235.39725,33.3,19.56,33824,2.37,1.39
E. coli bacteraemia,Feb,2022/23,159,125,34,240235.39725,66.19,14.15,33824,4.7,1.01
Gram negative bacteraemia,Feb,2022/23,228,164,64,240235.39725,94.91,26.64,33824,6.74,1.89
Klebsiella sp bacteraemia,Feb,2022/23,50,31,19,240235.39725,20.81,7.91,33824,1.48,0.56
MRSA bacteraemia,Feb,2022/23,4,2,2,240235.39725,1.67,0.83,33824,0.12,0.06
MSSA bacteraemia,Feb,2022/23,56,36,20,240235.39725,23.31,8.33,33824,1.66,0.59
P. aeruginosa bacteraemia,Feb,2022/23,19,8,11,240235.39725,7.91,4.58,33824,0.56,0.33
S. aureus bacteraemia,Feb,2022/23,60,38,22,240235.39725,24.98,9.16,33824,1.77,0.65
C. difficile,Feb,2023/24,114,56,58,242748.80002,46.96,23.89,37431,3.05,1.55
E. coli bacteraemia,Feb,2023/24,168,129,39,242748.80002,69.21,16.07,37431,4.49,1.04
Gram negative bacteraemia,Feb,2023/24,230,174,56,242748.80002,94.75,23.07,37431,6.14,1.5
